date,pm2_5,pm10,carbon_monoxide,dust,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,location,pm25_today,pm25_lag1,pm25_lag7,pm25_7d_mean,pm25_tomorrow,tomorrow_exceeds_37_5,day_of_week,month
2024-08-05,11.112499999999999,15.766666666666666,439.0,0.625,25.858333333333334,87.54166666666667,3.625,157.875,25.7,972.2916666666666,chiang_mai,11.112499999999999,11.495833333333332,7.6875,7.96845238095238,11.929166666666667,0,0,8
2024-08-06,11.929166666666667,16.7375,463.9166666666667,0.5833333333333334,25.96666666666667,86.54166666666667,3.966666666666667,179.66666666666666,17.1,971.7541666666666,chiang_mai,11.929166666666667,11.112499999999999,7.9125000000000005,8.457738095238096,12.5,0,1,8
2024-08-07,12.5,17.270833333333332,447.7916666666667,0.20833333333333334,26.420833333333334,85.25,3.8375,193.75,17.1,972.3958333333334,chiang_mai,12.5,11.929166666666667,6.5125,9.031547619047618,15.033333333333333,0,2,8
2024-08-08,15.033333333333333,20.904166666666665,599.7083333333334,0.4583333333333333,26.579166666666666,87.16666666666667,4.075,196.58333333333334,14.4,973.275,chiang_mai,15.033333333333333,12.5,5.770833333333333,9.886904761904761,17.416666666666668,0,3,8
2024-08-09,17.416666666666668,24.620833333333334,816.2916666666666,1.375,27.545833333333334,81.875,3.8874999999999997,163.33333333333334,1.1,972.4416666666666,chiang_mai,17.416666666666668,15.033333333333333,6.925,11.210119047619047,12.191666666666668,0,4,8
2024-08-10,12.191666666666668,17.433333333333334,627.3333333333334,0.7083333333333334,28.083333333333332,82.25,3.1291666666666664,178.08333333333334,8.4,970.9416666666666,chiang_mai,12.191666666666668,17.416666666666668,9.475,12.708928571428572,12.870833333333332,0,5,8
2024-08-11,12.870833333333332,18.683333333333334,657.0833333333334,1.25,27.8125,83.04166666666667,3.654166666666667,175.25,6.6,969.4291666666667,chiang_mai,12.870833333333332,12.191666666666668,11.495833333333332,13.09702380952381,17.1125,0,6,8
2024-08-12,17.1125,24.241666666666664,772.5,0.8333333333333334,26.15833333333333,90.83333333333333,3.795833333333333,148.58333333333334,5.2,969.1208333333334,chiang_mai,17.1125,12.870833333333332,11.112499999999999,13.293452380952383,11.854166666666666,0,0,8
2024-08-13,11.854166666666666,16.783333333333335,519.8333333333334,0.08333333333333333,25.891666666666666,91.83333333333333,3.9416666666666664,177.75,21.2,970.1999999999999,chiang_mai,11.854166666666666,17.1125,11.929166666666667,14.150595238095239,12.975,0,1,8
2024-08-14,12.975,18.504166666666666,565.4583333333334,0.8333333333333334,26.166666666666668,88.54166666666667,4.545833333333333,205.29166666666666,30.799999999999997,971.3041666666667,chiang_mai,12.975,11.854166666666666,12.5,14.13988095238095,11.429166666666667,0,2,8
